greeting= 你好
introduction= 欢迎来到虚拟现实社交故事！
story1RoadSceneText1= 我将乘坐汽车去一所新学校。
story1SchoolSceneText1= 你好，我是林老师。
story1SchoolSceneText2= 再见，放学后我会来接你。
story1SchoolSceneText3= 妈妈在我进学校之前给了我一个拥抱。
story1SchoolSceneText4= 跟着我进入学校吧。
story1SchoolSceneText5= 我会在学校认识新老师。
story1SchoolSceneText6= 我会在学校认识朋友们。
story1SchoolSceneText7= 我可以从老师那里学到新东西。
story1SchoolSceneText8= 所有学生都在课堂上端正地坐着。
story1SchoolSceneText9= 我和同学们坐在班上，专心听老师讲课。
story1SchoolSceneText10= 当老师在上课的时候，我会专心听课。
story1SchoolSceneText11= 如果我不会，我可以举手发问。
story1SchoolSceneText12= 老师，我不会。
story1SchoolSceneText13= 如果我想上厕所，我可以举手告诉老师。
story1SchoolSceneText14= 请问我可以去厕所吗？
story1SchoolSceneText15= 放学时，所有学生互相说再见。
story1SchoolSceneText16= 上学会很有趣。
story2Text1= 当我第一次来到学校时，老师会向同学们介绍我。
story2Text2= 这是我们的同学，[replace name here]。
story2Text3= 我的新朋友可能会向我自我介绍。
story2Text4= 哈咯， 我是阿明。
story2Text5= 你好， 我是丽丽。
story2Text6= 我可能会在学校结交新朋友。
story2Text7= 我的朋友可能会向我借橡皮擦。
story2Text8= 我可以向你借橡皮擦吗？
story2Text9= 当我忘记带铅笔时，我也可以向他们借。
story2Text10= 我可以向你借铅笔吗？
story2Text11= 当然可以，给你。
story2Text12= 他们把铅笔借给我后，我会向他们道谢。
story2Text13= 我们将一起学习。
story2Text14= 当我们一起学习，学习可能会变得有趣。
story2Text15= 有时，我的朋友可能会取笑我。
story2Text16= 为什么你看起来和别人不一样？
story2Text17= 我可能会不喜欢他们这样对我。
story2Text18= 没关系。
story2Text19= 他们可能会触摸我的手臂或手。
story2Text20= 这可能是他们交朋友的方式。
story2Text21= 没关系。
story2Text22= 与朋友一起玩仍然很有趣。
